,city,lat,lon,temp,humidity,wind,cloud,country,date
0,poum,-20.2333,164.0167,79.72,75,1.14,94,NC,1611098457
1,hilo,19.7297,-155.09,80.6,61,8.05,75,US,1611097816
2,vaini,-21.2,-175.2,87.8,70,9.22,40,TO,1611098308
3,busselton,-33.65,115.3333,66.99,97,8.03,9,AU,1611098318
4,chongwe,-15.3292,28.682,68.0,94,2.3,75,ZM,1611098381
5,new norfolk,-42.7826,147.0587,63.0,49,1.99,0,AU,1611098306
6,hobart,-42.8794,147.3294,63.0,47,3.44,20,AU,1611098309
7,hermanus,-34.4187,19.2345,61.0,87,11.18,47,ZA,1611098331
8,ongole,15.5,80.05,68.07,87,4.34,2,IN,1611098568
9,hamilton,39.1834,-84.5333,39.2,48,9.22,1,US,1611098467
10,khatanga,71.9667,102.5,-26.54,86,2.08,99,RU,1611098312
11,esperance,-33.8667,121.9,78.8,38,18.41,40,AU,1611098328
12,young,-32.6833,-57.6333,84.0,35,1.99,0,UY,1611098568
13,albany,42.6001,-73.9662,36.0,71,4.34,93,US,1611098303
14,rikitea,-23.1203,-134.9692,78.55,77,15.32,20,PF,1611098302
15,arraial do cabo,-22.9661,-42.0278,77.0,83,16.11,0,BR,1611098370
16,ostrovnoy,68.0531,39.5131,16.29,95,25.05,100,RU,1611098288
17,atuona,-9.8,-139.0333,78.24,73,11.18,17,PF,1611098200
18,lebu,-37.6167,-73.65,62.35,75,22.7,0,CL,1611098331
19,nishihara,26.1842,127.7558,62.6,55,6.91,75,JP,1611098570
20,rorvik,64.8621,11.2373,28.8,91,26.31,100,NO,1611098570
21,airai,-8.9266,125.4092,64.26,100,2.82,100,TL,1611098347
22,cape town,-33.9258,18.4232,68.0,68,18.41,20,ZA,1611098195
23,pisco,-13.7,-76.2167,73.4,73,24.16,0,PE,1611098393
24,luderitz,-26.6481,15.1594,69.78,65,24.4,0,NA,1611098353
25,mount isa,-20.7333,139.5,86.0,51,3.44,58,AU,1611098571
26,san patricio,28.017,-97.5169,73.4,73,18.41,90,US,1611098431
27,mataura,-46.1927,168.8643,46.99,92,10.0,100,NZ,1611098312
28,charters towers,-20.1,146.2667,80.31,72,11.92,93,AU,1611098571
29,saint george,37.1041,-113.5841,55.99,24,9.22,75,US,1611098344
30,charleston,32.7766,-79.9309,53.01,66,4.61,20,US,1611098572
31,saint-philippe,-21.3585,55.7679,80.6,74,2.3,0,RE,1611098330
32,saint-paul,-21.0096,55.2707,78.8,83,4.61,0,RE,1611098572
33,chabahar,25.2919,60.643,68.88,70,8.57,0,IR,1611098572
34,puerto ayora,-0.7393,-90.3518,80.6,78,14.97,20,EC,1611098316
35,punta arenas,-53.15,-70.9167,62.6,48,6.91,0,CL,1611098301
36,ponta do sol,32.6667,-17.1,61.0,81,12.91,96,PT,1611098198
37,constitucion,-35.3333,-72.4167,63.63,80,5.91,13,CL,1611098378
38,vila velha,-20.3297,-40.2925,79.0,73,10.36,0,BR,1611098304
39,naze,28.3667,129.4833,59.0,63,6.91,75,JP,1611098314
40,chiang khong,20.2613,100.4046,57.2,100,2.3,3,TH,1611098574
41,souillac,-20.5167,57.5167,77.0,94,3.44,20,MU,1611098330
42,karlovo,42.6333,24.8,30.2,69,13.8,1,BG,1611098367
43,berlevag,70.8578,29.0864,26.6,63,19.57,75,NO,1611098365
44,turukhansk,65.8167,87.9833,-22.41,87,5.61,100,RU,1611098575
45,port elizabeth,-33.918,25.5701,68.0,77,16.11,0,ZA,1611098332
46,hithadhoo,-0.6,73.0833,80.71,71,10.65,9,MV,1611098304
47,port hardy,50.6996,-127.4199,44.6,87,3.44,75,CA,1611098104
48,middleton,53.55,-2.2,51.01,86,5.01,100,GB,1611098575
49,iskateley,67.6803,53.1512,-8.32,90,13.29,100,RU,1611098575
50,abaza,52.655,90.0928,3.88,87,3.33,46,RU,1611098576
51,port lincoln,-34.7333,135.8667,68.04,64,12.26,8,AU,1611098435
52,mitsamiouli,-11.3847,43.2844,81.81,81,12.28,99,KM,1611098576
53,port-gentil,-0.7193,8.7815,80.6,83,3.44,20,GA,1611098576
54,ushuaia,-54.8,-68.3,59.0,58,9.22,20,AR,1611098461
55,pingzhuang,42.0372,119.2889,6.8,91,5.06,3,CN,1611098576
56,messina,38.1933,15.5497,48.0,76,4.54,0,IT,1611098534
57,saskylakh,71.9167,114.0833,-20.56,86,7.87,100,RU,1611098308
58,mahibadhoo,3.7833,72.9667,81.52,75,11.07,46,MV,1611098577
59,chokurdakh,70.6333,147.9167,-37.93,83,2.89,48,RU,1611098346
60,mahebourg,-20.4081,57.7,77.0,94,3.44,20,MU,1611098326
61,kysyl-syr,63.8986,122.7617,-46.12,75,8.32,97,RU,1611098577
62,victoria,22.2855,114.1577,64.0,69,1.01,94,HK,1611098362
63,launceston,-41.45,147.1667,63.0,55,5.75,0,AU,1611098578
64,marystown,47.1666,-55.1483,29.41,91,19.86,80,CA,1611098578
65,nikolskoye,59.7035,30.7861,23.0,86,4.47,75,RU,1611098222
66,tuktoyaktuk,69.4541,-133.0374,3.2,78,13.8,90,CA,1611098373
67,isangel,-19.55,169.2667,84.2,84,1.81,75,VU,1611098350
68,uelzen,52.9667,10.5667,46.4,87,16.11,75,DE,1611098579
69,kapaa,22.0752,-159.319,69.8,100,23.02,90,US,1611098321
70,saldanha,-33.0117,17.9442,64.4,72,14.97,0,ZA,1611098096
71,carmo do rio claro,-20.9719,-46.1189,70.07,79,1.5,100,BR,1611098579
72,aklavik,68.2191,-135.0107,1.4,85,12.66,90,CA,1611098580
73,bredasdorp,-34.5322,20.0403,62.6,72,4.61,44,ZA,1611098580
74,seymchan,62.8833,152.4333,-43.47,79,1.97,71,RU,1611098580
75,batemans bay,-35.7167,150.1833,66.99,54,4.0,69,AU,1611098580
76,tura,25.5198,90.2201,57.52,60,4.79,0,IN,1611098226
77,kasongo-lunda,-6.4667,16.8167,71.06,84,0.6,99,CD,1611098580
78,chuy,-33.6971,-53.4616,67.1,72,7.92,0,UY,1611098352
79,jamestown,42.097,-79.2353,28.0,86,6.91,90,US,1611098311
80,san cristobal,7.7669,-72.225,82.4,65,6.91,40,VE,1611098383
81,east london,-33.0153,27.9116,70.56,73,18.95,71,ZA,1611098350
82,high level,58.5169,-117.136,35.6,100,8.05,75,CA,1611098581
83,simplicio mendes,-7.8539,-41.9103,81.03,52,3.02,99,BR,1611098582
84,novyye burasy,52.1324,46.0714,-0.99,56,1.01,85,RU,1611098467
85,kaitangata,-46.2817,169.8464,53.01,63,14.0,100,NZ,1611098271
86,zhicheng,30.2956,111.5047,45.0,63,2.51,78,CN,1611098582
87,burnie,-41.0667,145.9167,59.32,60,4.99,0,AU,1611098582
88,nizhneudinsk,54.9076,99.0276,4.06,90,2.93,100,RU,1611098583
89,asheboro,35.7079,-79.8136,50.0,43,4.54,1,US,1611098583
90,mancio lima,-7.6142,-72.8958,80.6,83,3.74,75,BR,1611098583
91,iqaluit,63.7506,-68.5145,28.4,100,5.55,90,CA,1611098342
92,severo-kurilsk,50.6789,156.125,13.21,87,19.1,94,RU,1611098358
93,yellowknife,62.456,-114.3525,15.8,92,6.91,90,CA,1611098104
94,jepara,-5.1695,105.7044,72.39,95,5.77,96,ID,1611098584
95,jardim,-21.4803,-56.1381,71.73,97,3.24,100,BR,1611098415
96,wanaka,-44.7,169.15,49.73,67,9.86,91,NZ,1611098584
97,moree,-29.4667,149.85,82.4,44,11.5,0,AU,1611098391
98,kloulklubed,7.0419,134.2556,80.6,89,10.36,90,PW,1611098584
99,lavrentiya,65.5833,-171.0,-14.96,83,4.54,18,RU,1611098346
100,carnarvon,-24.8667,113.6333,78.8,83,13.8,90,AU,1611098310
101,qaanaaq,77.484,-69.3632,2.44,72,7.99,99,GL,1611098334
102,te anau,-45.4167,167.7167,45.46,87,8.79,100,NZ,1611098585
103,fayetteville,35.0527,-78.8784,53.6,37,3.44,1,US,1611098523
104,cherskiy,68.75,161.3,-43.08,80,6.62,100,RU,1611098319
105,bambous virieux,-20.3428,57.7575,79.0,94,3.44,20,MU,1611098324
106,traverse city,44.7631,-85.6206,23.0,63,6.91,90,US,1611098541
107,saint-augustin,51.226,-58.6502,16.14,90,16.42,6,CA,1611098362
108,sabla,12.7525,4.7077,71.1,21,12.21,0,NG,1611098586
109,port pirie,-33.1833,138.0167,73.4,60,8.05,80,AU,1611098586
110,zunyi,27.6867,106.9072,45.37,69,4.59,100,CN,1611098587
111,bluff,-46.6,168.3333,46.99,92,10.0,95,NZ,1611098322
112,san carlos de bariloche,-41.1456,-71.3082,80.01,22,16.11,0,AR,1611098395
113,longido,-2.7333,36.6833,67.46,60,8.97,95,TZ,1611098588
114,lorengau,-2.0226,147.2712,84.47,69,8.16,99,PG,1611098379
115,namatanai,-3.6667,152.4333,82.49,76,7.74,77,PG,1611098588
116,mar del plata,-38.0023,-57.5575,70.0,78,10.36,0,AR,1611098285
117,bubaque,11.2833,-15.8333,78.3,62,12.82,19,GW,1611098588
118,vostok,46.4856,135.8833,-19.44,85,4.59,4,RU,1611098351
119,butaritari,3.0707,172.7902,80.13,81,21.0,84,KI,1611098300
120,clyde river,70.4692,-68.5914,1.4,92,10.36,75,CA,1611098446
121,nyimba,-14.5566,30.8149,70.59,93,4.14,100,ZM,1611098589
122,santa maria,-29.6842,-53.8069,80.6,50,11.5,0,BR,1611098237
123,rock sound,24.9,-76.2,71.51,70,18.92,3,BS,1611098589
124,ende,-8.8432,121.6623,77.29,86,6.58,100,ID,1611098589
125,ribeira grande,38.5167,-28.7,60.73,73,14.63,100,PT,1611098336
126,yining,29.0361,114.5636,43.54,61,1.34,45,CN,1611098590
127,codrington,-38.2667,141.9667,60.01,55,7.54,2,AU,1611098339
128,dikson,73.5069,80.5464,-20.42,89,9.28,94,RU,1611098344
129,sambava,-14.2667,50.1667,73.0,93,7.25,100,MG,1611098323
130,taganak,6.0833,118.3,75.2,100,2.3,40,PH,1611098590
131,kashary,49.04,41.0056,-4.2,92,5.5,87,RU,1611098590
132,baghdad,33.3406,44.4009,51.8,58,11.5,0,IQ,1611098476
133,colares,38.7992,-9.4469,57.99,88,28.07,100,PT,1611098591
134,jiayuguan,39.8167,98.3,20.48,57,2.91,95,CN,1611098591
135,diego de almagro,-26.3667,-70.05,73.81,27,10.07,0,CL,1611098591
136,gunjur,13.2019,-16.7339,69.8,68,3.44,52,GM,1611098591
137,sitka,57.0531,-135.33,39.2,81,12.66,75,US,1611098306
