,city,lat,lon,temp,humidity,wind,cloud,country,date
0,bluff,-46.6,168.3333,54.0,91,10.0,86,NZ,1611012807
1,iqaluit,63.7506,-68.5145,21.2,79,16.11,90,CA,1611012561
2,rikitea,-23.1203,-134.9692,78.78,73,13.02,43,PF,1611012807
3,valdivia,-39.8142,-73.2459,80.6,47,10.36,0,CL,1611012808
4,victoria,22.2855,114.1577,57.0,63,17.09,47,HK,1611012809
5,butaritari,3.0707,172.7902,80.76,82,16.53,32,KI,1611012809
6,marawi,7.9986,124.2928,75.0,91,5.01,100,PH,1611012809
7,albany,42.6001,-73.9662,32.0,67,8.3,83,US,1611012803
8,mataura,-46.1927,168.8643,54.0,91,10.0,95,NZ,1611012810
9,beringovskiy,63.05,179.3167,-18.87,86,12.35,73,RU,1611012810
10,hilo,19.7297,-155.09,75.2,69,17.27,90,US,1611012614
11,fortuna,40.5982,-124.1573,62.01,67,11.5,1,US,1611012811
12,olinda,-8.0089,-34.8553,78.8,69,9.22,40,BR,1611012612
13,faanui,-16.4833,-151.75,81.55,74,15.88,1,PF,1611012811
14,ushuaia,-54.8,-68.3,51.8,66,13.8,75,AR,1611012812
15,zorgo,12.2489,-0.6158,72.75,20,10.02,0,BF,1611012812
16,yulara,-25.2406,130.9889,82.4,20,17.27,20,AU,1611012812
17,ha tinh,18.3333,105.9,51.98,74,3.09,1,VN,1611012607
18,avarua,-21.2078,-159.775,80.6,74,6.91,30,CK,1611012813
19,arraial do cabo,-22.9661,-42.0278,77.0,83,16.11,0,BR,1611012813
20,nieuw amsterdam,5.8833,-55.0833,80.6,78,6.91,20,SR,1611012813
21,kaitangata,-46.2817,169.8464,55.99,83,1.01,89,NZ,1611012814
22,busselton,-33.65,115.3333,75.99,51,1.99,8,AU,1611012815
23,caravelas,-17.7125,-39.2481,76.32,83,7.34,0,BR,1611012815
24,castro,-24.7911,-50.0119,66.47,97,8.16,100,BR,1611012815
25,powell,40.1578,-83.0752,30.2,80,9.22,90,US,1611012817
26,hermanus,-34.4187,19.2345,63.0,89,6.22,1,ZA,1611012817
27,hasaki,35.7333,140.8333,39.2,48,5.75,20,JP,1611012817
